ticker,close_time,strike,result
KXETH-26MAR2310-B2140,2026-03-30 14:00:00+00:00,2140.0,no
KXETH-26MAR2309-B2080,2026-03-30 13:00:00+00:00,2080.0,no
KXETH-26MAR2307-B2640,2026-03-30 11:00:00+00:00,2640.0,no
KXETH-26MAR2308-B2060,2026-03-30 12:00:00+00:00,2060.0,no
KXETH-26MAR2306-B2140,2026-03-30 10:00:00+00:00,2140.0,no
KXETH-26MAR2305-B2060,2026-03-30 09:00:00+00:00,2060.0,no
KXETH-26MAR2303-B2640,2026-03-30 07:00:00+00:00,2640.0,no
KXETH-26MAR2304-B2060,2026-03-30 08:00:00+00:00,2060.0,no
KXETH-26MAR2302-B2140,2026-03-30 06:00:00+00:00,2140.0,no
KXETH-26MAR2301-B2040,2026-03-30 05:00:00+00:00,2040.0,no
KXETH-26MAR2300-B2040,2026-03-30 04:00:00+00:00,2040.0,no
KXETH-26MAR2317-B2030,2026-03-30 21:00:00+00:00,2030.0,no
KXETH-26MAR2223-B2020,2026-03-30 03:00:00+00:00,2020.0,no
KXETH-26MAR2221-B2540,2026-03-30 01:00:00+00:00,2540.0,no
KXETH-26MAR2222-B2000,2026-03-30 02:00:00+00:00,2000.0,no
KXETH-26MAR2220-B2040,2026-03-30 00:00:00+00:00,2040.0,no
KXETH-26MAR2219-B1980,2026-03-29 23:00:00+00:00,1980.0,no
KXETH-26MAR2216-B2540,2026-03-29 20:00:00+00:00,2540.0,no
KXETH-26MAR2218-B2000,2026-03-29 22:00:00+00:00,2000.0,no
KXETH-26MAR2215-B2040,2026-03-29 19:00:00+00:00,2040.0,no
KXETH-26MAR2214-B2000,2026-03-29 18:00:00+00:00,2000.0,no
KXETH-26MAR2212-B2540,2026-03-29 16:00:00+00:00,2540.0,no
KXETH-26MAR2213-B2000,2026-03-29 17:00:00+00:00,2000.0,no
KXETH-26MAR2211-B2040,2026-03-29 15:00:00+00:00,2040.0,no
